ID,f1KanzleiNummer,Niederlassung,Strasse,Hausnr,StrasseZusatz,PLZ,Ort,OrtZusatz,eMail,Vertragsart,ETAXBeraternummer,LohnBeraternummer,reweTestkanzlei,SageAccEdition,VirtuellesETAX,ETLNummerStammkanzlei,NameStammkanzlei,OrtStammkanzlei,Bemerkung,DatenOK,BeitragMonatlich,BeitragBerechnetJahr,BeitragMonatlichReduziert,BeitragBerechnetJahrReduziert,StartDatum,KuendigungDatum,AusgesetztBis,SCSBereich
1,1910,Zentrale Berlin,Mauerstraße,86-88,,10117,Berlin,,kontakt@felix1.de,-,0,,FALSCH,FALSCH,Nein,1910,-,Berlin,,FALSCH,,,,,,,,-
2,8030,Ribnitz-Damgarten,Lange Straße,46,,18311,Ribnitz-Damgarten,,ribnitz-damgarten@felix1.de,Alternativvertrag,58030,98030,WAHR,FALSCH,Nein,4075,F&P Ribnitz-Damgarten,Ribnitz-Damgarten,,FALSCH,191,"2291,52",,,01.04.2015,,,Neubrandenburg
3,8031,Saarlouis,Lilienthalstraße,9,,66740,Saarlouis,,saarlouis@felix1.de,Standardvertrag,58031,98031,WAHR,FALSCH,Ja,1217,UWS Die Berater Saarlouis,Saarlouis,,FALSCH,637,"7638,48",,,01.04.2015,,,Essen
4,8032,Panketal,Schönower Straße,43,,16341,Panketal,OT Zepernick,panketal@felix1.de,Alternativvertrag,58032,98032,WAHR,FALSCH,Nein,4424,H&P Panketal/ OT Zepernick,Panketal,,FALSCH,191,"2291,52",,,01.04.2015,,,Berlin
5,8036,Berlin - Rankestraße,Rankestraße,17,,10789,Berlin,,felix1-berlin@felix1.de,Standardvertrag,58036,98036,FALSCH,FALSCH,Nein,1000,Hannes&Koll. Berlin,Berlin,,FALSCH,637,"7638,48",,,01.02.2015,,,Berlin
6,8037,Lutherstadt Wittenberg - Puschkinstraße,Puschkinstraße,11,,06886,Lutherstadt Wittenberg,,wittenberg@felix1.de,Standardvertrag,58037,98037,WAHR,FALSCH,Nein,4323,S&P Wittenberg,Lutherstadt Wittenberg,,FALSCH,637,"7638,48",,,01.01.2015,,,Berlin
7,8038,Herzberg,Torgauer Straße,44-47,,04916,Herzberg,,herzberg@felix1.de,Alternativvertrag,58038,98038,FALSCH,FALSCH,Nein,4398,S&P Herzberg,Herzberg,,FALSCH,100,1200,,,01.01.2015,31-Dez-15,,Berlin
8,8043,Frankfurt am Main,Grüneburgweg,12,,60322,Frankfurt am Main,,felix1-frankfurt-main@felix1.de,Alternativvertrag,58043,98043,FALSCH,FALSCH,Nein,1280,ADVISA Frankfurt am Main,Frankfurt/Main,,FALSCH,191,"2291,52",,,01.01.2015,,,Essen
9,8044,Potsdam - Hegelallee,Hegelallee,12-13,,14467,Potsdam,,dommenz-potsdam@felix1.de,Standardvertrag,58044,98044,FALSCH,FALSCH,Nein,5463,ADVITAX Potsdam,Potsdam,Sondervereinbarung: nur Umsatz- und Inkassogebühr,FALSCH,0,0,,,01.10.2014,,,Berlin
10,8045,Berlin - Platz vor dem Neuen Tor,Platz vor dem Neuen Tor,2,,10115,Berlin,,scheffner-berlin@felix1.de,Standardvertrag,58045,98045,WAHR,FALSCH,Nein,2740,Sophien 3 Berlin,Berlin,,FALSCH,637,"7638,48",,,01.09.2014,,,Berlin
11,8046,Norden,Norddeicher Straße,7,,26506,Norden,,norden@felix1.de,Standardvertrag,58046,98046,WAHR,FALSCH,Nein,1730,Graalmann Norderney,Norden,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
12,8048,Kempten (Allgäu),Bodmanstraße,25,,87439,Kempten (Allgäu),,kempten@felix1.de,Standardvertrag,58048,98048,FALSCH,FALSCH,Nein,2920,DKS Kempten (Allgäu),Kempten (Allgäu),,FALSCH,637,"7638,48",,,01.09.2014,,,Essen
13,8049,Gießen,Südanlage,22,,35390,Gießen,,giessen@felix1.de,Alternativvertrag,58049,98049,FALSCH,FALSCH,JA,1981,Barho&Kollegen Gießen,Gießen,,FALSCH,191,"2291,52",,,01.09.2014,30-Jun-16,,Essen
14,8050,Dessau-Roßlau,Burgwallstraße,40,,06862,Dessau-Roßlau,,wechselberger-dessau@felix1.de,Alternativvertrag,58050,98050,FALSCH,FALSCH,Nein,4195,F&P Roßlau,Dessau-Roßlau,hat gekündigt,FALSCH,191,"2291,52",,,01.08.2014,28-Feb-16,,Berlin
15,8053,Arnsberg,Schillerstraße,93,,59755,Arnsberg,,arnsberg@felix1.de,Alternativvertrag,58053,98053,FALSCH,FALSCH,Nein,2574,Aurin & P Arnsberg,Arnsberg,"14.03.2016: Wechsel von Standard in Alternativ rückwirkend zum 01.01.2016 (vormals halbierte Standardgebühr)
Hr. Aurin 3. Kanzlei",FALSCH,191,"2291,52",,,01.08.2014,,,Essen
16,8054,Siegburg,Neue Poststraße,21,,53721,Siegburg,,siegburg@felix1.de,Standardvertrag,58054,98054,FALSCH,FALSCH,Ja,1132,ETL-Siegburg Siegburg,Siegburg,,FALSCH,637,"7638,48",,,01.07.2014,,,Essen
17,8058,Oberursel (Taunus),Hohemarkstraße,20,,61440,Oberursel (Taunus),,utsch-oberursel@felix1.de,Alternativvertrag,58058,98058,FALSCH,WAHR,Ja,1114,Arndt und Utsch Oberursel,Oberursel (Taunus),,FALSCH,191,"2291,52",,,01.09.2014,,,Essen
18,8059,Ueckermünde,Ueckerstraße,73,,17373,Ueckermünde,,haase-ueckermuende@felix1.de,Alternativvertrag,58059,98059,FALSCH,FALSCH,Nein,4094,F&P Ueckermünde,Ueckermünde,,FALSCH,191,"2291,52",,,01.07.2014,30-Jun-15,,Neubrandenburg
19,8065,Cottbus - Bahnhofstraße,Bahnhofstraße,18,,03046,Cottbus,,krug-cottbus@felix1.de,Alternativvertrag,58065,98065,WAHR,FALSCH,Nein,4010,F&P Cottbus,Cottbus,,FALSCH,95,"1145,76",,,01.07.2014,,,Berlin
